Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
61,5.00,2.00,3.50,1.00,Iris-versicolor
62,5.90,3.00,4.20,1.50,Iris-versicolor
63,6.00,2.20,4.00,1.00,Iris-versicolor
64,6.10,2.90,4.70,1.40,Iris-versicolor
65,5.60,2.90,3.60,1.30,Iris-versicolor
66,6.70,3.10,4.40,1.40,Iris-versicolor
67,5.60,3.00,4.50,1.50,Iris-versicolor
68,5.80,2.70,4.10,1.00,Iris-versicolor
69,6.20,2.20,4.50,1.50,Iris-versicolor
70,5.60,2.50,3.90,1.10,Iris-versicolor
71,5.90,3.20,4.80,1.80,Iris-versicolor
72,6.10,2.80,4.00,1.30,Iris-versicolor
73,6.30,2.50,4.90,1.50,Iris-versicolor
74,6.10,2.80,4.70,1.20,Iris-versicolor
75,6.40,2.90,4.30,1.30,Iris-versicolor
76,6.60,3.00,4.40,1.40,Iris-versicolor
77,6.80,2.80,4.80,1.40,Iris-versicolor
78,6.70,3.00,5.00,1.70,Iris-versicolor
79,6.00,2.90,4.50,1.50,Iris-versicolor
80,5.70,2.60,3.50,1.00,Iris-versicolor
81,5.50,2.40,3.80,1.10,Iris-versicolor
82,5.50,2.40,3.70,1.00,Iris-versicolor
83,5.80,2.70,3.90,1.20,Iris-versicolor
84,6.00,2.70,5.10,1.60,Iris-versicolor
85,5.40,3.00,4.50,1.50,Iris-versicolor
86,6.00,3.40,4.50,1.60,Iris-versicolor
87,6.70,3.10,4.70,1.50,Iris-versicolor
88,6.30,2.30,4.40,1.30,Iris-versicolor
89,5.60,3.00,4.10,1.30,Iris-versicolor
90,5.50,2.50,4.00,1.30,Iris-versicolor
91,5.50,2.60,4.40,1.20,Iris-versicolor
92,6.10,3.00,4.60,1.40,Iris-versicolor
93,5.80,2.60,4.00,1.20,Iris-versicolor
94,5.00,2.30,3.30,1.00,Iris-versicolor
95,5.60,2.70,4.20,1.30,Iris-versicolor
96,5.70,3.00,4.20,1.20,Iris-versicolor
97,5.70,2.90,4.20,1.30,Iris-versicolor
98,6.20,2.90,4.30,1.30,Iris-versicolor
99,5.10,2.50,3.00,1.10,Iris-versicolor
100,5.70,2.80,4.10,1.30,Iris-versicolor
101,6.30,3.30,6.00,2.50,Iris-virginica
102,5.80,2.70,5.10,1.90,Iris-virginica
103,7.10,3.00,5.90,2.10,Iris-virginica
104,6.30,2.90,5.60,1.80,Iris-virginica
105,6.50,3.00,5.80,2.20,Iris-virginica
106,7.60,3.00,6.60,2.10,Iris-virginica
107,4.90,2.50,4.50,1.70,Iris-virginica
108,7.30,2.90,6.30,1.80,Iris-virginica
109,6.70,2.50,5.80,1.80,Iris-virginica
110,7.20,3.60,6.10,2.50,Iris-virginica
111,6.50,3.20,5.10,2.00,Iris-virginica
112,6.40,2.70,5.30,1.90,Iris-virginica
113,6.80,3.00,5.50,2.10,Iris-virginica
114,5.70,2.50,5.00,2.00,Iris-virginica
115,5.80,2.80,5.10,2.40,Iris-virginica
116,6.40,3.20,5.30,2.30,Iris-virginica
117,6.50,3.00,5.50,1.80,Iris-virginica
118,7.70,3.80,6.70,2.20,Iris-virginica
119,7.70,2.60,6.90,2.30,Iris-virginica
120,6.00,2.20,5.00,1.50,Iris-virginica
121,6.90,3.20,5.70,2.30,Iris-virginica
122,5.60,2.80,4.90,2.00,Iris-virginica
123,7.70,2.80,6.70,2.00,Iris-virginica
124,6.30,2.70,4.90,1.80,Iris-virginica
125,6.70,3.30,5.70,2.10,Iris-virginica
126,7.20,3.20,6.00,1.80,Iris-virginica
127,6.20,2.80,4.80,1.80,Iris-virginica
128,6.10,3.00,4.90,1.80,Iris-virginica
129,6.40,2.80,5.60,2.10,Iris-virginica
130,7.20,3.00,5.80,1.60,Iris-virginica
131,7.40,2.80,6.10,1.90,Iris-virginica
132,7.90,3.80,6.40,2.00,Iris-virginica
133,6.40,2.80,5.60,2.20,Iris-virginica
134,6.30,2.80,5.10,1.50,Iris-virginica
135,6.10,2.60,5.60,1.40,Iris-virginica
136,7.70,3.00,6.10,2.30,Iris-virginica
137,6.30,3.40,5.60,2.40,Iris-virginica
138,6.40,3.10,5.50,1.80,Iris-virginica
139,6.00,3.00,4.80,1.80,Iris-virginica
140,6.90,3.10,5.40,2.10,Iris-virginica
141,6.70,3.10,5.60,2.40,Iris-virginica
142,6.90,3.10,5.10,2.30,Iris-virginica
143,5.80,2.70,5.10,1.90,Iris-virginica
144,6.80,3.20,5.90,2.30,Iris-virginica
145,6.70,3.30,5.70,2.50,Iris-virginica
146,6.70,3.00,5.20,2.30,Iris-virginica
147,6.30,2.50,5.00,1.90,Iris-virginica
148,6.50,3.00,5.20,2.00,Iris-virginica
149,6.20,3.40,5.40,2.30,Iris-virginica
150,5.90,3.00,5.10,1.80,Iris-virginica
